Model,MAE,RMSE,R2,Family,CV_RMSE_Mean,CV_RMSE_STD,Train_Seconds,Best_Estimator,Best_Config
FLAML AutoML,3.0496987423932715,3.7993085243653253,0.835608685109551,automl_flaml,3.8623459956582544,,120.88886499404907,rf,"{'n_estimators': 148, 'max_features': 0.3890578130207286, 'max_leaves': 845}"
Stacking Ensemble (Top 3),3.064455389350856,3.8369590374594056,0.8323343601316235,ensemble,3.879397191103572,0.03675619091410998,,,
Voting Ensemble (Top 3),3.0650933346565425,3.8427996208586377,0.8318235334809202,ensemble,3.886935149949135,0.038001774407153924,,,
Random Forest Tuned,3.125052661834105,3.934295042866277,0.8237197748906769,manual_tuned,4.010011850358197,,,,
Extra Trees Tuned,3.134682147105482,3.9580808864934234,0.8215818321581847,manual_tuned,4.030596183169792,,,,
XGBoost Tuned,3.1655828952789307,3.9657666865679935,0.8208882808685303,manual_tuned,4.019058307011922,,,,
Baseline (Mean Predictor),7.613597693012387,9.371571819438374,-0.00021789582016729092,baseline,,,,,
