Model,MAE,RMSE,R2,Family,CV_RMSE_Mean,CV_RMSE_STD
XGBoost,3.1097569465637207,3.9022949948859345,0.8265756964683533,manual,3.944822835922241,0.02901684888472102
Random Forest,3.143121880891649,3.963641918553151,0.82108013136743,manual,4.017588767540607,0.04043509027924597
Extra Trees,3.1842386603083064,4.04878739940334,0.8133105868582605,manual,4.0823984575824275,0.034459117568114865
Gradient Boosting,3.574437814793265,4.467717765368829,0.7726781377231791,manual,4.50817384587449,0.050419680399617
Ridge,4.805656441863059,6.0212112860935685,0.5871070389818278,manual,6.016913138170269,0.03189815120947571
Linear Regression,4.805627215070234,6.021232062388431,0.5871041895881437,manual,6.016918673441366,0.03192958321759997
Lasso,6.199552879567,7.665537778865053,0.33080143372942805,manual,7.704005898446246,0.033779057146881265
Baseline (Mean Predictor),7.613597693012387,9.371571819438374,-0.00021789582016729092,baseline,,
